Text,Timestamp
"𝕏 usage hit another all-time high yesterday with 417 billion user-seconds globally!

In the US, user-seconds reached 93B, 23% higher than the previous record of 76B.

In a single day.",2024-07-15T18:59:28.000Z
More than double the power of the Saturn V moon rocket!,2024-07-15T20:01:52.000Z
Full duration static fire of Flight 5 Super Heavy booster,2024-07-15T18:48:47.000Z
"–––––––
TRUMP
VANCE
–––––––

Resounds with victory",2024-07-15T19:30:35.000Z
The legacy media misled the public,2024-07-15T19:02:00.000Z
"WSJ management needs to clean house over there. 

If there is any news organization on Earth that should be unabashedly pro capitalism, it is the WALL STREET Journal, for goodness sake!

It’s literally in the name lmao.",2024-07-15T16:20:40.000Z
"I tried using both 𝕏 and legacy media this weekend, but legacy media was so far behind and wrong that it was pointless. 

When something is wrong on 𝕏, it is corrected very fast, but it stays wrong for hours to days on legacy media.",2024-07-15T16:02:57.000Z
"Could be a man or a woman, to be clear, just needs to be large enough to do the job. Someone like Brienne of Tarth would be fine.",2024-07-15T15:38:58.000Z
Interesting thread,2024-07-15T15:07:59.000Z
ONE HUNDRED PERCENT,2024-07-15T03:02:07.000Z
The best “reporters” are actual experts in a subject or those actually at the scene,2024-07-15T02:18:49.000Z
"If everyone actually votes this November then this is what the country will look like.

“Liking” a post doesn’t count as a vote. 

President Trump needs all of us to actually get up and vote.",2024-07-14T22:51:58.000Z
The legacy media is a pure propaganda machine. 𝕏 is the voice of the people.,2024-07-14T22:19:58.000Z
"The New York Times just published this about Trump today. 

They are truly callous and despicable human beings. Not a shred of empathy.",2024-07-14T21:39:53.000Z
"The people of America want to know the truth. More people are downloading the 𝕏 app.

𝕏 is now the #1 news app in the US, leading both the 'free' and 'grossing' categories (AppStore).",2024-07-14T19:14:00.000Z
I was the Sniper Employment Officer for my battalion and led hundreds of combat missions. There were major security lapses in the security plan that allowed a shooter to engage President Trump from ~130 meters - an easy shot. A ,2024-07-14T02:59:02.000Z
"Extreme incompetence or it was deliberate. Either way, the SS leadership must resign.",2024-07-14T01:22:52.000Z
"“Most importantly, I want to extend my condolences to the family of the person at the Rally who was killed, and also to the family of another person that was badly injured” ",2024-07-14T00:58:06.000Z
Legalize noticing!,2024-07-14T00:32:34.000Z
"I always thought Trump was a vapid showman 

Impressive to see the dog in him 

Changes everything",2024-07-13T23:14:36.000Z
Exactly,2024-07-14T01:00:48.000Z
"I often say that photos of Trump are like renaissance paintings.

But on this awful evening for our country, the photos feel more… Biblical. The sunlight found Trump’s bloodied face as he fell to the ground, and produced this photo

Trump 2024",2024-07-13T23:33:51.000Z
The Reid Hoffman’s of the world got their dearest wish … but then the martyr lived,2024-07-14T00:01:31.000Z
I fully endorse President Trump and hope for his rapid recovery,2024-07-13T22:51:28.000Z
"Everyone can be a citizen journalist.

You just need a mobile, internet connectivity and 𝕏 app.",2024-07-13T17:34:18.000Z
It is the first rocket booster & spaceship design capable of doing so,2024-07-13T17:27:05.000Z
Starlink making progress in Japan,2024-07-13T17:04:02.000Z
Cool,2024-07-13T16:58:55.000Z
Congrats!,2024-07-13T06:07:17.000Z
"“Starship is the kind of thing that makes people from little kids to seniors excited about the future.”

— Elon Musk",2024-07-13T05:35:09.000Z
"Ark Warns of Ticking Time Bomb: ROBOTAXIS 

(it's not what you think!)

$TSLA",2024-07-13T05:21:31.000Z
As to make life multiplanetary and explore the stars,2024-07-13T03:54:50.000Z
"ASIMOV'S FOUNDATION: THE BLUEPRINT FOR ELON'S SPACE REVOLUTION

1/5 INSPIRATION

Elon recently credited Asimov's Foundation series as his inspiration for ""making life/consciousness multiplanetary."" 

Let's explore how this sci-fi epic shaped Musk's vision for humanity's future",2024-07-13T04:28:31.000Z
Accurate,2024-07-13T02:35:27.000Z
"We were told AI doom would be a paper clip maximizer, but it’s actually going to be Strawberry Fields Forever ",2024-07-13T00:43:08.000Z
"Starlink is ideal for rural locations, especially for connecting farmers with high-speed internet",2024-07-12T22:19:52.000Z
"Where we are in the sci-fi movie timeline

[ danmeth. com]",2024-07-12T16:42:25.000Z
"We look forward to a very public battle in court, so that the people of Europe can know the truth",2024-07-12T19:44:08.000Z
"Value today of $10,000 invested 14 years ago: 

Nvidia: $5,212,905
Tesla: $2,269,483
Constellation Software: $1,071,661
Celsius Holdings: $875,538
Broadcom: $792,681
Super Micro: $631,565
United Rentals: $672,773
Netflix: $403,603
Domino’s Pizza: $391,474
Dexcom: $387,378",2024-07-12T14:57:30.000Z
"Exactly, the legacy media is literally yesterday’s news",2024-07-12T14:54:20.000Z
"New Tesla Model 3 version available in America. 

363 miles of range for $35k!",2024-07-12T14:23:44.000Z
Politics,2024-07-11T19:33:48.000Z
Training on real-world data from millions of Tesla vehicles makes a big difference,2024-07-11T19:27:03.000Z
"BREAKING: Tesla has introduced the Model 3 Long Range RWD in the US!

• Starting price: $42,490 ($34,990 including Fed EV credit)
• EPA range: 363 miles
• 0-60mph: 4.9s",2024-07-12T00:35:44.000Z
"There is something satisfying about writing a CUDA kernel and then finding and removing the bottlenecks to make them go . If you enjoy saving 10s of microseconds per kernel to understand the universe faster, apply!",2024-07-11T15:54:55.000Z
Starlink Mini,2024-07-11T17:25:14.000Z
"Good Tesla self-driving demo. 

It’s true, buying anything except a Tesla will seem like buying a horse & buggy.",2024-07-11T15:26:45.000Z
"Having seen the evidence unearthed today by Congress, 𝕏 has no choice but to file suit against the perpetrators and collaborators in the advertising boycott racket. 

Hopefully, some states will consider criminal prosecution.",2024-07-11T11:22:02.000Z
"There is a tiny chance this will pass the senate if a few Dems cross party lines, but Biden said he would veto the bill even it did. 

I wonder why? ",2024-07-11T09:20:06.000Z
"Asimov’s Foundation series was part of the inspiration for making life/consciousness multiplanetary.

Being multiplanetary greatly extends the probable lifespan of civilization.

We must build Terminus.",2024-07-11T09:13:04.000Z
Maybe this applies to real-life too ,2024-07-11T08:54:00.000Z
When ur way underleveled for video game boss fight,2024-07-11T08:40:41.000Z
"The physicality of the brain becomes startlingly obvious upon inspection: it is a biological computer.

Our brains shrinks over time as we age and when you see the brain of someone with severe dementia, the damage is not subtle. What is surprising is that it functions at all.",2024-07-11T06:46:03.000Z
"NEWS: 
@SpaceX
 has launched Starlink Mini roam in the U.S., which means you can buy Starlink Mini on its own & connect to highspeed internet anywhere with a dish the size of an iPad.

Info: 
• $50 per month
• 50GB/mo of Mobile data with portable or in-motion use
• 50GB = 20+",2024-07-11T05:09:29.000Z
The New York Times specializes in tediously misleading propaganda,2024-07-10T19:36:42.000Z
"The 
@Neuralink
 team is doing a live video update in about 5 minutes …",2024-07-10T17:12:34.000Z
Grok fun mode news is awesome ,2024-07-10T17:09:52.000Z
The simulation is sending us a message ,2024-07-10T15:54:59.000Z
Extremely concerning!,2024-07-10T14:49:54.000Z
"To make up for this heinous crime, I will refrain from having omelette for a week",2024-07-10T04:03:39.000Z
Getting ready for flight 5!,2024-07-09T22:51:07.000Z
"Here’s the official Texas voter registration form for federal elections.

Nowhere in the form does one have to prove that they’re a citizen - all they have to do is click ‘Yes’.

Why is the most important part of democracy - voting - not bulletproof?",2024-07-09T16:44:28.000Z
Who are these “activists”?,2024-07-09T16:24:35.000Z
362 billion user-seconds per day!,2024-07-09T16:20:26.000Z
Great idea,2024-07-09T16:04:43.000Z
